2020-03-07 18:13:31,167 [main] INFO  marytts.R 1    Prosody took 0 ms
2020-03-07 18:13:31,167 [main] INFO  marytts.R 1    PronunciationModel took 0 ms
2020-03-07 18:13:31,167 [main] INFO  marytts.R 1    AcousticModeller took 0 ms
2020-03-07 18:13:31,167 [main] INFO  marytts.R 1    Synthesis took 63 ms
2020-03-07 18:13:32,844 [main] INFO  marytts.R 1 New request (input type "TEXT", output type "AUDIO", voice "cmu-rms-hsmm", effect "Stadium(amount:150.0)", audio "WAVE")
2020-03-07 18:13:32,844 [main] INFO  marytts.R 1 Handling request using the following modules:
2020-03-07 18:13:32,844 [main] INFO  marytts.R 1 - TextToMaryXML (marytts.modules.TextToMaryXML)
2020-03-07 18:13:32,844 [main] INFO  marytts.R 1 Next module: TextToMaryXML
2020-03-07 18:13:32,844 [main] INFO  marytts.R 1 Handling request using the following modules:
2020-03-07 18:13:32,844 [main] INFO  marytts.R 1 - JTokeniser (marytts.language.en.JTokeniser)
2020-03-07 18:13:32,844 [main] INFO  marytts.R 1 - Preprocess (marytts.language.en.Preprocess)
2020-03-07 18:13:32,844 [main] INFO  marytts.R 1 - OpenNLPPosTagger (marytts.modules.OpenNLPPosTagger)
2020-03-07 18:13:32,844 [main] INFO  marytts.R 1 - JPhonemiser (marytts.modules.JPhonemiser)
2020-03-07 18:13:32,844 [main] INFO  marytts.R 1 - Prosody (marytts.language.en.Prosody)
